Month,Current Budget Deficit,Net Investment,Net Borrowing,Net debt excl BoE (£ bn),Net Debt (£ billion),Net Debt as a % GDP1,newcolumn,new column,newcol
1997-04-01,3015,-280,2735,345.3,344.5,36.3,True,True,True
1997-05-01,3200,-280,2920,349.6,348.8,36.7,True,True,True
1997-06-01,5117,-266,4851,356.6,355.8,37.4,True,True,True
1997-07-01,574,54,628,352.7,351.9,36.8,True,True,True
1997-08-01,2785,54,2839,354.3,353.5,36.9,True,True,True
1997-09-01,2141,52,2193,357.0,356.2,37.0,True,True,True
1997-10-01,-1644,74,-1570,351.1,350.3,36.3,True,True,True
1997-11-01,-1962,74,-1888,355.0,354.2,36.5,True,True,True
1997-12-01,754,66,820,356.3,355.4,36.5,True,True,True
1998-01-01,-8298,1045,-7253,345.1,344.3,35.3,True,True,True
1998-02-01,-752,1037,285,343.3,342.4,35.0,True,True,True
1998-03-01,1432,1034,2466,351.0,350.1,35.7,True,True,True
1998-04-01,1969,-129,1840,347.2,346.3,35.1,True,True,True
1998-05-01,4010,-225,3785,350.7,349.9,35.3,True,True,True
1998-06-01,3433,-154,3279,357.2,356.3,35.7,True,True,True
1998-07-01,-2819,107,-2712,352.6,351.8,35.1,True,True,True
1998-08-01,1903,90,1993,354.0,353.1,35.1,True,True,True
1998-09-01,1449,64,1513,355.5,354.6,35.1,True,True,True
1998-10-01,-6731,256,-6475,348.4,347.5,34.3,True,True,True
1998-11-01,2672,247,2919,350.9,350.0,34.4,True,True,True
1998-12-01,568,294,862,353.3,352.4,34.6,True,True,True
1999-01-01,-7747,924,-6823,341.5,340.6,33.3,True,True,True
1999-02-01,-3069,932,-2137,341.2,340.3,33.1,True,True,True
1999-03-01,-303,1082,779,349.8,348.9,33.9,True,True,True
1999-04-01,437,-33,404,345.7,344.7,33.4,True,True,True
1999-05-01,3533,-122,3411,347.5,346.6,33.4,True,True,True
1999-06-01,2501,-104,2397,353.4,352.5,33.9,True,True,True
1999-07-01,-3567,154,-3413,347.3,346.4,33.2,True,True,True
1999-08-01,1344,157,1501,346.9,346.0,33.0,True,True,True
1999-09-01,-149,196,47,348.1,347.1,33.0,True,True,True
1999-10-01,-7552,235,-7317,339.4,338.5,32.0,True,True,True
1999-11-01,1485,229,1714,340.1,339.1,31.9,True,True,True
1999-12-01,1184,244,1428,354.8,353.8,33.1,True,True,True
2000-01-01,-10613,1160,-9453,335.3,334.3,31.1,True,True,True
2000-02-01,-2142,1204,-938,332.3,331.3,30.7,True,True,True
2000-03-01,-2394,1120,-1274,339.9,338.8,31.3,True,True,True
2000-04-01,-1019,3983,2964,333.9,332.8,30.6,True,True,True
2000-05-01,-597,-8650,-9247,321.9,320.8,29.4,True,True,True
2000-06-01,-1280,3995,2715,329.0,327.9,29.9,True,True,True
2000-07-01,-3353,-421,-3774,321.5,320.4,29.1,True,True,True
2000-08-01,-1768,5164,3396,321.1,320.0,29.0,True,True,True
2000-09-01,679,-4725,-4046,313.2,312.1,28.2,True,True,True
2000-10-01,708,292,1000,307.0,305.8,27.5,True,True,True
2000-11-01,944,309,1253,309.1,307.9,27.6,True,True,True
2000-12-01,1309,231,1540,319.6,318.5,28.5,True,True,True
2001-01-01,-8066,1238,-6828,303.0,301.9,26.9,True,True,True
2001-02-01,-4914,1183,-3731,301.0,299.8,26.6,True,True,True
2001-03-01,-2190,1168,-1022,308.2,307.0,27.2,True,True,True
2001-04-01,-827,697,-130,305.3,304.1,26.9,True,True,True
2001-05-01,1039,694,1733,308.6,307.4,27.1,True,True,True
2001-06-01,4,-152,-148,316.8,315.5,27.7,True,True,True
2001-07-01,-2491,682,-1809,308.9,307.7,27.0,True,True,True
2001-08-01,-1494,669,-825,308.2,306.9,26.8,True,True,True
2001-09-01,760,720,1480,310.4,309.1,26.9,True,True,True
2001-10-01,2372,835,3207,305.1,303.9,26.4,True,True,True
2001-11-01,2460,1006,3466,310.6,309.3,26.8,True,True,True
2001-12-01,2272,959,3231,321.0,319.7,27.6,True,True,True
2002-01-01,-5801,1706,-4095,309.5,308.3,26.5,True,True,True
2002-02-01,-2600,1650,-950,307.2,305.9,26.2,True,True,True
2002-03-01,-1193,1489,296,315.2,314.0,26.8,True,True,True
2002-04-01,2199,469,2668,314.6,313.4,26.6,True,True,True
2002-05-01,4570,-645,3925,317.3,316.1,26.7,True,True,True
2002-06-01,2637,1034,3671,324.3,323.1,27.2,True,True,True
2002-07-01,-1287,688,-599,318.5,317.3,26.6,True,True,True
2002-08-01,1346,893,2239,321.1,320.0,26.7,True,True,True
2002-09-01,3582,985,4567,327.5,326.3,27.0,True,True,True
2002-10-01,2748,1082,3830,334.1,332.9,27.5,True,True,True
2002-11-01,3985,1283,5268,340.1,339.0,27.9,True,True,True
2002-12-01,3713,1205,4918,351.7,350.6,28.7,True,True,True
2003-01-01,-2948,2772,-176,338.3,337.2,27.5,True,True,True
2003-02-01,-624,2697,2073,337.1,336.0,27.2,True,True,True
2003-03-01,-974,2660,1686,349.1,348.0,28.1,True,True,True
2003-04-01,2767,640,3407,340.8,339.7,27.3,True,True,True
2003-05-01,5465,1002,6467,345.4,344.3,27.5,True,True,True
2003-06-01,3442,1212,4654,353.8,352.6,28.1,True,True,True
2003-07-01,399,1210,1609,349.4,348.2,27.6,True,True,True
2003-08-01,2818,1435,4253,352.7,351.5,27.8,True,True,True
2003-09-01,4737,1235,5972,361.4,360.1,28.3,True,True,True
2003-10-01,3059,1229,4288,360.8,359.5,28.2,True,True,True
2003-11-01,3936,1516,5452,367.7,366.5,28.6,True,True,True
2003-12-01,3636,1444,5080,381.8,380.5,29.6,True,True,True
2004-01-01,-2926,3020,94,367.7,366.4,28.3,True,True,True
2004-02-01,-2738,2750,12,368.4,367.1,28.3,True,True,True
2004-03-01,-2474,2888,414,382.7,381.3,29.3,True,True,True
2004-04-01,4535,3471,8006,390.5,389.1,29.8,True,True,True
2004-05-01,4492,1789,6281,395.9,394.6,30.1,True,True,True
2004-06-01,3797,-1482,2315,407.7,406.4,30.8,True,True,True
2004-07-01,826,1625,2451,401.5,400.1,30.2,True,True,True
2004-08-01,2908,1626,4534,404.2,402.9,30.3,True,True,True
2004-09-01,4722,1201,5923,414.2,412.8,30.9,True,True,True
